p,T,viscosity,Phase
100000,293.15,0.0005064,liquid
1.00E+06,293.15,0.00051,liquid
5.00E+06,293.15,0.0005399,liquid
1.00E+07,293.15,0.0005733,liquid
2.00E+07,293.15,0.0006366,liquid
3.00E+07,293.15,0.0007059,liquid
4.00E+07,293.15,0.0007817,liquid
5.00E+07,293.15,0.0008608,liquid
6.00E+07,293.15,0.0009567,liquid
7.00E+07,293.15,0.0010416,liquid
8.00E+07,293.15,0.0011268,liquid
1.00E+08,293.15,0.0013157,liquid
1.20E+08,293.15,0.001518,liquid
1.40E+08,293.15,0.0017391,liquid
100000,298.15,0.0004746,liquid
1.00E+06,298.15,0.0004819,liquid
5.00E+06,298.15,0.000509,liquid
1.00E+07,298.15,0.0005388,liquid
2.00E+07,298.15,0.0006027,liquid
3.00E+07,298.15,0.0006672,liquid
4.00E+07,298.15,0.0007394,liquid
5.00E+07,298.15,0.0008154,liquid
6.00E+07,298.15,0.0008956,liquid
7.00E+07,298.15,0.0009815,liquid
8.00E+07,298.15,0.0010698,liquid
1.00E+08,298.15,0.0012345,liquid
1.20E+08,298.15,0.0014345,liquid
1.40E+08,298.15,0.001648,liquid
100000,313.15,0.0004035,liquid
1.00E+06,313.15,0.0004114,liquid
5.00E+06,313.15,0.0004353,liquid
1.00E+07,313.15,0.0004633,liquid
2.00E+07,313.15,0.0005177,liquid
3.00E+07,313.15,0.0005775,liquid
4.00E+07,313.15,0.0006351,liquid
5.00E+07,313.15,0.0006902,liquid
6.00E+07,313.15,0.0007509,liquid
7.00E+07,313.15,0.0008173,liquid
8.00E+07,313.15,0.0008861,liquid
1.00E+08,313.15,0.001045,liquid
1.20E+08,313.15,0.0011953,liquid
1.40E+08,313.15,0.0013627,liquid
100000,323.15,0.0003645,liquid
1.00E+06,323.15,0.0003694,liquid
5.00E+06,323.15,0.0003915,liquid
1.00E+07,323.15,0.0004157,liquid
2.00E+07,323.15,0.000464,liquid
3.00E+07,323.15,0.0005146,liquid
4.00E+07,323.15,0.0005714,liquid
5.00E+07,323.15,0.0006255,liquid
6.00E+07,323.15,0.0006832,liquid
7.00E+07,323.15,0.000742,liquid
8.00E+07,323.15,0.0007969,liquid
1.00E+08,323.15,0.0009249,liquid
1.20E+08,323.15,0.0010679,liquid
1.40E+08,323.15,0.0012102,liquid
100000,333.15,0.0003265,liquid
1.00E+06,333.15,0.0003296,liquid
5.00E+06,333.15,0.0003515,liquid
1.00E+07,333.15,0.0003754,liquid
2.00E+07,333.15,0.0004216,liquid
3.00E+07,333.15,0.0004705,liquid
4.00E+07,333.15,0.0005232,liquid
5.00E+07,333.15,0.000579,liquid
6.00E+07,333.15,0.0006246,liquid
7.00E+07,333.15,0.0006779,liquid
8.00E+07,333.15,0.000728,liquid
1.00E+08,333.15,0.0008361,liquid
1.20E+08,333.15,0.0009606,liquid
1.40E+08,333.15,0.0010951,liquid
100000,348.15,0.0002829,liquid
1.00E+06,348.15,0.0002863,liquid
5.00E+06,348.15,0.000306,liquid
1.00E+07,348.15,0.0003274,liquid
2.00E+07,348.15,0.0003692,liquid
3.00E+07,348.15,0.0004131,liquid
4.00E+07,348.15,0.0004565,liquid
5.00E+07,348.15,0.0005022,liquid
6.00E+07,348.15,0.0005476,liquid
7.00E+07,348.15,0.0006049,liquid
8.00E+07,348.15,0.0006507,liquid
1.00E+08,348.15,0.0007538,liquid
1.20E+08,348.15,0.000864,liquid
1.40E+08,348.15,0.000977,liquid
100000,353.15,0.0002738,liquid
1.00E+06,353.15,0.0002748,liquid
5.00E+06,353.15,0.0002923,liquid
1.00E+07,353.15,0.0003175,liquid
2.00E+07,353.15,0.000357,liquid
3.00E+07,353.15,0.0003966,liquid
4.00E+07,353.15,0.0004379,liquid
5.00E+07,353.15,0.0004853,liquid
6.00E+07,353.15,0.0005294,liquid
7.00E+07,353.15,0.0005738,liquid
8.00E+07,353.15,0.0006288,liquid
1.00E+08,353.15,0.0007176,liquid
1.20E+08,353.15,0.0008245,liquid
1.40E+08,353.15,0.0009332,liquid
98066,293.15,0.000508,liquid
1.96E+06,293.15,0.0005205,liquid
3.92E+06,293.15,0.0005332,liquid
5.88E+06,293.15,0.0005457,liquid
7.85E+06,293.15,0.0005592,liquid
9.81E+06,293.15,0.0005722,liquid
1.47E+07,293.15,0.0006068,liquid
1.96E+07,293.15,0.000641,liquid
2.45E+07,293.15,0.000676,liquid
2.94E+07,293.15,0.0007122,liquid
3.92E+07,293.15,0.0007858,liquid
4.90E+07,293.15,0.000864,liquid
98066,323.15,0.0003588,liquid
1.96E+06,323.15,0.0003682,liquid
3.92E+06,323.15,0.0003785,liquid
5.88E+06,323.15,0.0003887,liquid
7.85E+06,323.15,0.0003985,liquid
9.81E+06,323.15,0.00041,liquid
1.47E+07,323.15,0.0004357,liquid
1.96E+07,323.15,0.000461,liquid
2.45E+07,323.15,0.0004875,liquid
2.94E+07,323.15,0.0005125,liquid
3.92E+07,323.15,0.000565,liquid
4.90E+07,323.15,0.000618,liquid
98066,348.15,0.0002843,liquid
1.96E+06,348.15,0.0002935,liquid
3.92E+06,348.15,0.0003025,liquid
5.88E+06,348.15,0.0003112,liquid
7.85E+06,348.15,0.00032,liquid
9.81E+06,348.15,0.000329,liquid
1.47E+07,348.15,0.0003505,liquid
1.96E+07,348.15,0.0003717,liquid
2.45E+07,348.15,0.0003927,liquid
2.94E+07,348.15,0.000416,liquid
3.92E+07,348.15,0.000455,liquid
4.90E+07,348.15,0.0004975,liquid
1.96E+06,373.15,0.0002395,liquid
3.92E+06,373.15,0.0002467,liquid
5.88E+06,373.15,0.0002542,liquid
7.85E+06,373.15,0.000262,liquid
9.81E+06,373.15,0.0002695,liquid
1.47E+07,373.15,0.0002887,liquid
1.96E+07,373.15,0.0003075,liquid
2.45E+07,373.15,0.000327,liquid
2.94E+07,373.15,0.0003445,liquid
3.92E+07,373.15,0.0003825,liquid
4.90E+07,373.15,0.00042,liquid
1.96E+06,398.15,0.0001965,liquid
